820,370,40,50,troll,.3,-.2,0
156,150,46,43,electric_trap,0,0,0,
251,368,46,43,electric_trap,0,0,0,
543,102,46,43,electric_trap,0,0,0,
408,200,46,43,electric_trap,0,0,0,
940,200,46,43,electric_trap,0,0,0,
90,203,25,15,spikes,0,0,0,
115,203,25,15,spikes,0,0,0,
130,203,25,15,spikes,0,0,0,
450,320,40,50,troll,.3,-.2,0
454,242,25,15,spikes,0,0,270,
454,257,25,15,spikes,0,0,270,
576,250,25,15,spikes,0,0,0,
601,250,25,15,spikes,0,0,0,
790,203,25,15,spikes,0,0,0,
817,227,25,15,spikes,0,0,0,
842,227,25,15,spikes,0,0,0,
867,227,25,15,spikes,0,0,0,
892,227,25,15,spikes,0,0,0,
983,250,25,15,spikes,0,0,0,
1008,250,25,15,spikes,0,0,0,
1033,250,25,15,spikes,0,0,0,
1058,250,25,15,spikes,0,0,0,
1083,250,25,15,spikes,0,0,0,
1108,250,25,15,spikes,0,0,0,
1133,250,25,15,spikes,0,0,0,
1158,250,25,15,spikes,0,0,0,
1183,250,25,15,spikes,0,0,0,
